Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
"ChatGPT Search: Conversational, Real-Time Research","Explore how to make the most of ChatGPT’s new web-searching ability to improve your research and information-gathering skills. Get real-time insights, stay updated on news, compare products, gather the latest data, and more. ChatGPT Search can streamline your searches, helping you find answers more quickly and efficiently.",Course,2025-07-20 15:58 UTC,N/A,false,N/A,
ISACA Certified Information Systems Auditor (CISA) Cert Prep,"<p>The Certified Information Systems Auditor (CISA) certification enables you to prove your ability to audit an organization's information systems compliance, and this course from Cybrary—a leading cybersecurity professional development platform—puts you on the path to gaining the knowledge you need to pass the exam. Deep dive into the process for auditing information systems. Learn about the government and management of IT. Explore the acquisition, development, and implementations of various information systems. Find out how you can make the best use of information systems operations and business resilience. Plus, review in depth what you’ll need to know about information asset security and control.</p>

<p>This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2025-12-23 09:53 UTC,N/A,false,N/A,
Time Series Analysis and Forecasting with ChatGPT,"<p>One of the highlights of this course is that no coding is required. Now, you can communicate with GPT-4o using human language to analyze, forecast, and visualize time series data. Start with the essentials of what can be forecasted and dive deep into the components of time series data like trends, seasonality, cycles, and noise. Learn to decompose data using additive, multiplicative, and STL methods.</p><p>Discover how to analyze time series with autocorrelation and partial autocorrelation plots, assess stationarity using the ADF test, and transform non-stationary data. Advance to predictive modeling with ARIMA and exponential smoothing models, mastering hyperparameter tuning and model selection. By the end of this course, you’ll be equipped to predict tomorrow and prepare for the future with confidence.</p>",Course,2025-09-16 13:52 UTC,N/A,false,N/A,
Practice Exam 3 for CompTIA A+ (220-1102),"<p>This practice exam is intended to help you prepare for the <b>CompTIA A+ (220-1102)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p><p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-a-plus-220-1102"" target=""_blank"">Practice Exam 1 for CompTIA A+ (220-1102)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-a-plus-220-1102"" target=""_blank"">Practice Exam 2 for CompTIA A+ (220-1102)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-a-plus-220-1102/"" target=""_blank"">Practice Exam 4 for CompTIA A+ (220-1102)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.comptia.org/certifications/a#examdetails""><b>CompTIA</b></a>.</p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-03-26 15:37 UTC,N/A,false,N/A,
Nano Tips to Enhance Your Communication with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>Here, award-winning leadership strategist and peak performance specialist Shadé Zahrai presents useful tips to help you communicate more effectively. Shadé shows you how to drive positive outcomes with your word choices. She covers how to foster trust by challenging your assumptions, responding positively, and owning a professional apology. Plus, Shadé guides you through mastering nonverbal communication through voice modulation, aligning delivery and intention, and using body language and physical gesture to reinforce your meaning. With these quick videos, you can make learning fit into even your busiest days!</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2023-03-14 16:22 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-12-11 13:08 UTC,N/A,false,N/A,
Teamwork Essentials: Stand Out as a Valuable Team Member,"When you think of all the skills you could work on to advance your career, how often do you think about being a valuable team member? Almost never? In reality, working well with a team involves more than just a frame of mind, it takes a specific set of skills. In this course, leadership strategist Shadé Zahrai teaches you effective strategies to not only be a great teammate, but also how to develop skills while working with teams that will strengthen your reputation within your organization. She first shows you how to identify your own style of engaging with others, then how to use that information to cultivate strong relationships on the teams that you’re on by elevating the work of your teammates and nurturing trust. Shadé explains ways to build culture on the teams by fostering collaboration, navigating conflict, and creating an environment of psychological safety. Finally, learn techniques to develop strategic thinking skills that will serve your teams and help you solve problems.",Course,2025-09-10 01:36 UTC,N/A,false,N/A,
Learning Lucidchart,"Learn how to create diagrams and flowcharts with Lucidchart, the popular diagramming tool. Lucidchart helps you break down and visualize complex topics, ideas, and processes—for better thinking, decisions, and results. LinkedIn Staff Instructor Ashley Kennedy offers this crash course in Lucidchart, starting with a quick tour of the interface and the tools and templates that make diagramming so intuitive in Lucidchart. Next, Ashley walks through how to create three types of charts, from planning to creating a structure and adding chart details. Finally, Ashley covers collaboration and integration tips, showing how to publish your charts online and how to import and export Visio files.",Course,2024-03-19 23:46 UTC,N/A,false,N/A,
Optimizing Your LinkedIn Profile Nano Tips with Kim Kaupe,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, Kim Kaupe shows you how to optimize your LinkedIn profile allowing you to get noticed faster and stand out from others in your field. Kim shows you how to use creator mode to boost your search results, add a cover story to your profile, customize your LinkedIn URL, and more. Plus, get tips for how to create a dynamic profile picture and video profile.",Course,2025-08-01 13:21 UTC,N/A,false,N/A,
Personal Productivity for Product Managers,"Personal productivity is crucial for busy product managers. In this course, LinkedIn PM Shyvee Shi helps you increase your own productivity in a mindful way and expands your capacity to lead. Shyvee discusses the goals of personal productivity and shows you five principles for mastering productivity. She explains how to build your own system to capture and organize information, as well as how to maintain a not-to-do list. Shyvee covers the importance of resting, recharging, and taking back control of your calendar, then dives into fighting procrastination. She walks you through how to run effective meetings, say a positive no, and move from doing to leading. Productivity is a lifelong commitment, and Shyvee helps you start finding what works for you!",Course,2022-08-25 19:38 UTC,N/A,false,N/A,
Selling into Industries: Healthcare,"Healthcare is a complex industry that requires a strategic sales approach. In this course, learn how to increase your revenue and your impact when selling into the healthcare vertical. Instructors Lisa Earle McLeod and Elizabeth McLeod share how to grasp the key metrics of your buyer, so that you can connect your solution to the most pertinent numbers. They also cover how to identify and get to the key senior players in a healthcare organization, understand hot-button issues for providers and suppliers, and adapt to changing regulations and legislation while still communicating your value.",Course,2020-05-11 04:32 UTC,N/A,false,N/A,
Managing Brand Reputation,"Ongoing reputation management can take many forms. The key is to be organized, proactive, and attentive. In this course, B2C marketing expert Goldie Chan shares how to monitor and improve the reputation of your business's brand. Goldie explains the basics of reputation management and how it compares to public relations. She mentions the places where reviews from customers can be found, and discusses what you can do to help boost the ratings. She shares how to respond to customer comments, whether their feedback was positive or not. Additionally, she talks about how marketing reputation management can be handled by one person or a team of professionals.",Course,N/A,N/A,true,N/A,
Nano Tips for Developing Magnetic Charisma with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out why charisma is such a valuable skill and how you can develop your own charisma with ease, exploring key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Gather strategies to build authentic charisma to start creating better first impressions and new connections today. Get tips on energizing others with charismatic presence and magnetic communication. Along the way, Shadé shows you techniques for using eye contact, pauses, presentation starts, tension-building tools, simplified language, genuine care, and more.",Course,2022-11-28 15:30 UTC,N/A,false,N/A,
Nano Tips for Crafting a Winning Video Content Strategy with Kim Kaupe,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover practical, easy-to-use strategies for unlocking the value of eye-catching video content on Linkedin. Join award-winning founder, keynote speaker, and teacher Kim Kaupe as she shows you how to design and implement a winning content strategy that’s engaging, timely, and offers your audience lasting value on Linkedin. Along the way, get tips on crafting resonant content, reaching your audience, content planning, competitive analysis, goal setting, testing, post engagement, feedback, and growth.",Course,2026-01-07 06:59 UTC,N/A,false,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2025-02-12 10:29 UTC,N/A,false,N/A,
Nano Tips for Influencing Those More Senior Than You with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, highlights effective ways to influence up. Increase your powers of persuasion by learning steps to prepare and align your goals with the goals of the leader you need to influence, proactive strategies for gaining buy-in, how to navigate disagreements, and how to manage the dynamics of your conversation.",Course,2025-08-31 11:22 UTC,N/A,false,N/A,
AI-Enhanced Leadership Development and Self-Coaching for Managers,"Did you know that AI can help you become a more effective manager, regardless of where you’re at in your career? In this course, professor Carolyn Goerner empowers you to take control of your leadership development using AI-powered tools and prompts to practice continuous professional self-coaching. Learn how to grow your confidence as a decision-maker, lead with empathy, and manage your team more effectively. By the end of this course, you’ll be prepared to leverage AI to become more adaptive and self-aware, embracing the power of lifelong learning.",Course,2025-12-18 12:08 UTC,N/A,false,N/A,
Excel: Financial Functions in Depth (2022),"Analyzing financial data can seem intimidating, but Microsoft Excel has a wide range of functions to perform these calculations quickly and easily. In this course, Microsoft  MVP Danielle Stein Fairhurst shows you how and when to use each of the financial functions available in Excel. Danielle covers evaluating loans, payments, and interest; calculating depreciation; determining rates of return; calculating prices and yields as well as applying some of the new features of Excel for Microsoft 365 to financial data. Plus, she guides you through combining these functions to perform financial analysis.",Course,2025-01-10 17:48 UTC,N/A,false,N/A,
"Italian, Part 3: Building More Complex Sentences","<p>The less-visited southern region of Basilicata contains rich treasures of history and culture. In this course—the third in a four-part series from The Great Courses—discover its ancient rock-carved houses and lunar landscapes as you return to Italian nouns, working with their plural endings and irregular forms. Then, add the interrogative nouns and pronouns (“who,” “what,” “why”), as you learn about the celebrated novel from Carlo Levi which made this region famous.</p>
<p><b>About the instructor</b><br><br>
Kristina Olson is an associate professor of Italian and the Italian program coordinator at George Mason University, where she has taught Italian language, literature, and cinema since 2005. She earned her PhD in Italian from Columbia University. Professor Olson is the author of <i>Courtesy Lost: Dante, Boccaccio, and the Literature of History</i> and several articles on Dante, Boccaccio, and Petrarch. She is the coeditor of <i>Open City: Seven Writers in Postwar Rome</i>; <i>Boccaccio 1313–2013</i>; and the second edition of <i>Approaches to Teaching Dante’s Divine Comedy</i> with the Modern Language Association. Professor Olson is the president of the American Boccaccio Association and was the vice president of the Dante Society of America.</p>",Course,2025-08-04 18:02 UTC,N/A,false,N/A,
Choosing the Right Project Management Certification for Your Career,"In this course, discover which project management certification can help you meet your career goals. Follow along with Asya Watkins, founder of Women of Project Management, as she provides a tour of some of the top certifications in the project management field—including the PMP, CAPM, agile PM certifications, and Lean Six Sigma. Asya begins by helping you assess current skills and career aspirations. Next, she takes you through the key considerations for each certification: ideal candidates, exam format, and eligibility. Learn how to match your personal goals with the right certification, and evaluate which certification aligns best with your career objectives.",Course,2025-10-03 15:03 UTC,N/A,false,N/A,
Create a Go-to-Market Plan (2020),"When you launch a new product or enter a new market, it's crucial to have both a roadmap that sets you up for success and the means to track the growth of your program. In this course, discover how to build and develop a go-to-market (GTM) plan for your next product or service. Join renowned marketing author Deirdre Breakenridge as she takes you through the steps needed to bring your product or service to the world. Deirdre helps you discern whether you need a GTM plan, and shows how to build a product strategy that's tailored to the market and customer base you aim to reach. She shares methods for pricing and promotion, and explains how to drive better channel performance, evaluate KPIs and metrics, and more.",Course,2021-05-05 18:52 UTC,N/A,false,N/A,
Understanding Bias in AI,"Unleash the power of AI responsibly! Join managing staff instructor Ashley Kennedy as she chats with DEI experts Christie Lindor and Nika White for an enlightening conversation on tackling bias in AI tools. Discover why bias exists, its impact, and practical strategies for fostering inclusivity and diversity in AI-generated content. Gain valuable insights on combating AI bias through audits, diverse teams, bias mitigation, and more. Get ready to take charge of a fairer AI future.",Course,2024-02-07 16:05 UTC,N/A,false,N/A,
Business Development Foundations (2017),"Business development can be the innovation hub of your organization, and an exciting career for visionary and strategic professionals. It can be a source of disruptive strategies and partnerships that help companies to leapfrog their competitors. And yet, the term ""business development"" is thrown around by many executives who don't fully  understand its power to transform.<br><br>

Business development teams identify areas of opportunity: new products, new markets, new partnerships, and new distribution channels. It's critical to start with clear objectives. Are you using business development (BD) as a marketing tool, a sales channel, a source of innovation, or a corporate development hub? Management consultant Robbie Kellman Baxter shows you how the best BD professionals identify and build momentum for new initiatives. She also gives you the insight you need to launch a BD function in your organization, explains how to manage a BD team, and shares how to scale the BD function as your opportunities grow.",Course,2019-07-21 09:56 UTC,N/A,false,N/A,
Ace Your Remote Interviews: Tips for Virtual Candidates,"Think in-person and virtual interview prep are the same? Think again! In this course, career consultant Brittany Hayles shares her expertise on virtual readiness, confident presentation, and leaving a positive lasting impression. Explore strategies to communicate your strengths in a virtual environment and leave a lasting impression as a candidate. After this course, you'll not only show up – you'll ace your next virtual interview.",Course,2025-07-14 17:35 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,Course,2024-06-25 21:01 UTC,N/A,false,N/A,
SketchUp Pro 2024 Essential Training,"Find out how you can build your design ideas with SketchUp Pro. In this essential training, interior designer and instructor Tammy Cody teaches you the essentials of SketchUp and helps you build a solid foundation in 3D modeling. Get an overview of essential tools and learn how to make the most of proper modeling techniques and organization. Explore the user interface, as well as how to manipulate objects, draw in SketchUp, and model from a floor plan image. Go over several organizational tools available to you in SketchUp, and learn how to apply and edit materials. Plus, find out how to document and stylize your work. Practice models throughout the course give you chances to apply what you learn.",Course,2025-03-15 14:32 UTC,N/A,false,N/A,
Practice Exam 3 for Certified Information Security Manager (CISM),"<p>This practice exam is intended to help you prepare for the <b>Certified Information Security Manager (CISM)</b>certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>

<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-certified-information-security-manager-cism"" target=""_blank""><i>Practice Exam 1 for Certified Information Security Manager (CISM)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-certified-information-security-manager-cism"" target=""_blank""><i>Practice Exam 2 for Certified Information Security Manager (CISM)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-certified-information-security-manager-cism"" target=""_blank""><i>Practice Exam 4 for Certified Information Security Manager (CISM)</i></a></li>
</ul>

<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.isaca.org/credentialing/cism"">Certified Information Security Manager (CISM)</a></b>.</p>

<p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-12-13 17:53 UTC,N/A,false,N/A,
Introduction to Artificial Intelligence (2023),"<p>Computer scientists are just a small slice of people working in artificial intelligence. Most of the people working in AI are project managers, product managers, directors, and executives. People just like you. This course helps you grasp key concepts in artificial intelligence. You’ll see how AI can enhance your products, life, and career. AI has been around for over half a century. Even with its huge strides, the core ideas in machine learning and neural networks are still accessible. </p><p> 
This course is designed for project managers, product managers, directors, executives, and students starting a career in AI. Get a high-level overview of the top tools in the field. First, see what it means for a system to display “intelligence.”  Then, learn algorithms and techniques involved in machine learning, artificial neural networks, and deep learning. Once simplified, AI looks less like magic and more like an exciting new set of technology tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,2023-06-27 12:55 UTC,N/A,false,N/A,
Landing a MAANG Job: Behavioral Interview Questions,"Have you dreamed of landing a job at Meta, Amazon, Apple, Netflix, and Google, and other top-tier tech companies? These positions can seem daunting at first to most candidates (even those who ultimately landed offers!), but what most candidates don't know is that there is a highly-structured way to tackle the interview process that will maximize your chances of landing the offers. In this course, Vincent Xu, a former Googler and founder of recruiting powerhouse TalentGeist, demystifies the interview process at top-tier tech companies (MAANG and equivalents like Microsoft and ByteDance), helping you nail kind of interview questions that you'll get regardless of what role you're applying for: behavioral, motivational, resume-based, and company knowledge questions. Get exclusive insights that you can start applying right away to your own interview prep.",Course,2025-09-25 09:12 UTC,N/A,false,N/A,
Nano Tips to Accelerate Your Goals with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this installment, learn commonly overlooked, counterintuitive, and must-know tips that truly make a difference when it comes to achieving your goals, exploring key insights from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Gleaned from research and global experience, Shadé explains the importance of setting goals aligned with your purpose for greater motivation, why you should break your bigger-picture goals into sub-goals, and the importance of setting milestones. She also imparts tips for increasing your chances of success and how to reignite your passion, confidence and goal-achieving momentum.",Course,2023-02-17 18:11 UTC,N/A,false,N/A,
"Japanese, Part 5: Using Casual Speech in Different Contexts","<p>In this course, Yuki Sasaki Caldwell—an Instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—explores the vocabulary and syntax for making polite negative requests, and the difference between the easier ru-verbs and the more difficult u-verbs. Discover some more casual conversational vocabulary, find out how it differs from more polite communication, and explore the circumstances in which casual use is acceptable. Plus, dive into vocabulary related to a person’s age and the zoo. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-08-06 00:11 UTC,N/A,false,N/A,
Marketing on Instagram,"If you're interested in marketing your product or service on Instagram, join Anson Alexander in this course as he acquaints you with key features and digital marketing strategies that can help improve your online presence and boost sales using the popular social platform. Anson demonstrates how to use built-in Instagram tools for businesses, brainstorm content ideas, and develop a posting schedule based on the activity of your target market. He shares tips for creating engaging content with Instagram Stories and Reels. Anson demonstrates how to use Instagram Insights to review statistics and metrics regarding your posts to optimize your marketing strategies. He also shows how to create shopping posts in Instagram Shopping as well as how to use paid ads to reach a wider audience. Plus, Anson provides insider tips and secrets that can help you navigate the Instagram community like a pro.",Course,2025-12-16 01:34 UTC,N/A,false,N/A,
Effective Listening (2019),"<p>Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-03-15 00:49 UTC,N/A,false,N/A,
Tips to Manage Conflict,"Do you often find yourself in a situation where you know you’re on the right side of an argument, but either can’t articulate your points or just can’t convince someone? Maybe you got defensive, or lost your temper, or otherwise made a mess of the whole thing. For lawyers, cleaning up arguments is just part of the job description, and in this course, attorney Jefferson Fisher shares actionable strategies to be more influential and effective to get your side of an argument across. Jefferson shows you how to skillfully steer arguments and moments of influence like an attorney, and leads you through framing an argument, navigating conflict, and finding resolution.",Course,2023-07-19 12:12 UTC,N/A,false,N/A,
Design a Cloud Migration Strategy,"The success of your cloud migration is enormously dependent upon how well thought out the strategy is. In this course, instructor Brien Posey takes a vendor-neutral look at the key design considerations that need to go into any migration strategy—whether you're migrating to AWS, Microsoft Azure, Google Cloud, or another platform. Learn how to identify your migration goals, estimate costs, and avoid common mistakes. Explore popular options such as rehosting, replatforming, and SaaS adoption. Find out when it's appropriate to refactor or retire workloads and get tips for implementing your migration plan, complete with considerations for IT pros. Plus, go over migration exit strategies: why have one, how to create one, and how to know when to use it.",Course,2025-02-05 13:03 UTC,N/A,false,N/A,
Business Intelligence for Consultants,"Business intelligence (BI) can provide key insights for your consulting business—leveraging the power of quantitative and qualitative data and giving you the actionable information you need to help clients make business decisions. This course explains what business intelligence is, why it's important, and how consultants can tap into business intelligence when delivering outcomes for clients. Instructor Joshua Rischin has been a consultant to over 40 organizations. Here he shares techniques and examples from his career with you. Learn how to profile the client's business, gather high-quality and relevant data, and present your insights and recommendations to clients with detailed visualizations and reports.",Course,2019-12-16 23:15 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-06-25 17:13 UTC,N/A,false,N/A,
Prompt Engineering with Gemini (2024),"Gemini (formerly known as Bard) is a generative AI model from Google with powerful multimodal capabilities and integrations. In this course, Denys Linkov gives an introduction to Gemini, showing you how to perform a variety of everyday tasks like brainstorming ideas, writing emails, browsing the web, and even planning a vacation. He covers advanced prompts you can use to improve results, and illustrates multimodal functionality by showing you how you can use Gemini to analyze and generate images and search and summarize YouTube videos.",Course,2025-06-08 05:24 UTC,N/A,false,N/A,
Excel and PowerPoint: Creating High-Impact Financial Presentations,"<p>Find out how you can create high-impact, data-rich financial presentations using Excel and PowerPoint. In this course, Microsoft MVP and Financial Modelling Specialist Danielle Stein Fairhurst guides you through creating financial presentations that are compelling, easy to understand, and—best of all—easy to update. Get started with an example spreadsheet featuring typical finance data. Learn how to use conditional formatting to highlight important information, PivotTables to summarize data, and sparklines and charts to create illustrations. Explore several different methods—including copying and pasting, linking, and embedding—to import your work into PowerPoint. Plus, learn how to use PowerPoint animation features to animate Excel charts and tables and focus the viewer's attention. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cfi-financial-analysis-and-modeling-professional-certificate"" target=""_blank"">Professional Certificate</a> from Corporate Finance Institute.</p>",Course,2024-06-24 23:33 UTC,N/A,false,N/A,
SAP Financials Essential Training (2019),"Learn how to use the SAP ERP Financials solution for accounting, managing company finances and performing enterprise resource planning. First, learn about company codes. Then, see how to perform account reconciliation. Continue following along to practice using accounts receivable and payable features. Find out how to set up general ledger (G/L) documents, input suppliers, generate invoices, manage purchase orders, post payments, manage assets, export reports, and more.",Course,2020-02-27 05:15 UTC,N/A,false,N/A,
Shane Snow on Storytelling,"Storytelling is a powerful way to make people care about products, brands, and causes. It can facilitate sales, marketing, presentations, and about any other task that requires a human connection. LinkedIn Influencer and best-selling business author Shane Snow shares his approach to crafting compelling stories. Learn how to make people care with personal stories, brand stories, or any other kind of story—using the core elements of narrative and established storytelling frameworks. Find out how to maximize connections with your audience and create a culture of storytelling throughout your organization.",Course,N/A,N/A,true,N/A,
How to use ChatGPT for Content Creation,"Among the many uses for AI, did you know you can use it to facilitate content creation? In this course, podcaster and content strategist Nicky Saunders guides you through everything you need to know to start crafting compelling, captivating content. Get an overview of ChatGPT and how to leverage it effectively to enhance your social media presence. Set up your ChatGPT environment and learn best practices. Step through crafting social media posts and curating  visual content with ChatGPT, and then dive into ways ChatGPT can enhance your content planning and strategy. This course empowers you to embrace the future of content creation with ChatGPT.",Course,2025-07-25 21:39 UTC,N/A,false,N/A,
Nano Tips for Using Digital Marketing to Grow with Ross Simmonds,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ross Simmonds shares digital marketing tips that can help you elevate your career. Ross starts with a quick overview of digital marketing—what it is, the different elements that make up the digital marketing industry, and the opportunities available in the field. He details the four best types of content to create, explains how SEO and social media fit into the mix, how to create a community online, and more.",Course,2025-12-03 11:17 UTC,N/A,false,N/A,
2-Minute Tips for Marketing,"Learn great tactics and techniques from top marketing experts with these short, engaging, stand-alone tips. Get useful advice and instruction that you can apply to your work today, including quick tools and platform advice—everything from what Instagram filters are best for business to custom reports for YouTube advertising—as well as important skills like how to keep large and small marketing presentations on track, perform content audits, and marketing with visual storytelling.",Course,2019-07-21 09:53 UTC,N/A,false,N/A,
Nano Tips for Using Chat GPT to 10x Your Productivity at Work with Gianluca Mauro,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Gianluca Mauro—AI entrepreneur, public speaker, and troublemaker—as he explores ways to leverage the power of AI to boost your productivity and get more done at work.</p><p>Learn how to utilize ChatGPT for enhanced productivity by crafting prompts that deliver consistent results. Gianluca covers the fundamentals of the CIDI framework for prompt engineering—context, instructions, details, and input—and how to get the most out of CIDI prompts in practice for social media copywriting, expert feedback, data structuring, and more. Along the way, gather insights for building and maintaining your prompt library and applying your new AI skills across your entire organization.</p>",Course,2025-06-18 02:21 UTC,N/A,false,N/A,
Nano Tips to Communicate Assertively and Set Boundaries with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, shares essential tips on assertive communication—and how to confidently set boundaries. Learn how to communicate assertively to reduce confrontations and improve interpersonal outcomes, set boundaries for off-hours communication, address disagreement constructively, and more.",Course,2025-09-11 02:26 UTC,N/A,false,N/A,
The AI-Driven Sales Professional: Streamline Systems and Exceed Targets,"In this course, sales expert Lisa Earle McLeod highlights ways you can leverage a wide variety of AI tools in sales. Learn how emerging technology gives you opportunities to make sales more efficient and effective, like identifying high-quality leads, crafting compelling outreach, and showcasing your value in customer conversations Whether you’re leading a sales team or a new BDR, this course helps you ensure you’re up to speed in the rapidly changing world of sales technology and have the skills to grow your sales with these exciting new capabilities.",Course,2025-10-12 04:26 UTC,N/A,false,N/A,
Facebook Marketing Nano Tips for Beginners with Sam Dey,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore industry-recognized marketing strategies to make your content and campaigns more successful with Facebook.</p>
<p>Digital marketing consultant and YouTube creator Sam Dey gives you a beginner’s overview of how to use Facebook to grow your audience, generate higher levels of engagement, and build your brand. Learn quick tips for leveraging Facebook demographics, the Facebook ads manager, online reels, groups, events, pages, and Facebook Live. Along the way, Sam shows you how to create a Facebook shop and sync it up directly with your Instagram account. Upon completing this course, you’ll be ready to access and use your Facebook marketing insights to optimize your marketing strategy more effectively.</p>",Course,2025-11-20 11:57 UTC,N/A,false,N/A,
